Race,FIPS,Jurisdiction,Count Within Race,Overall Count,Race Proportion,Disparity Index
Black,035,Carroll County,5345,32372,0.0088,18.7
Black,173,Smyth County,7669,49545,0.0248,6.23
Black,023,Botetourt County,5070,26861,0.0327,5.77
Black,197,Wythe County,8749,51404,0.0297,5.72
Black,191,Washington County,2554,30217,0.0152,5.57
Black,163,Rockbridge County,7417,40668,0.033,5.52
Black,171,Shenandoah County,4130,26550,0.0291,5.35
Asian or Pacific Islander,113,Madison County,191,5853,0.0063,5.21
Black,045,Craig County,45,2037,0.0045,4.93
Black,021,Bland County,3096,16465,0.0398,4.72
Black,085,Hanover County,33856,77358,0.0952,4.6
Black,165,Rockingham County,6342,54861,0.0254,4.55
Black,013,Arlington County,42626,99927,0.0968,4.41
Asian or Pacific Islander,005,Alleghany County,194,14767,0.0031,4.24
Hispanic,021,Bland County,652,16465,0.0099,4.01
Black,169,Scott County,495,14489,0.0091,3.74
Hispanic,173,Smyth County,3684,49545,0.0201,3.7
Black,071,Giles County,516,8784,0.016,3.68
Hispanic,023,Botetourt County,1705,26861,0.0175,3.62
Hispanic,191,Washington County,1785,30217,0.0163,3.62
Black,005,Alleghany County,2436,14767,0.047,3.51
Hispanic,077,Grayson County,913,6881,0.0383,3.47
Black,610,Falls Church city,1251,7537,0.0484,3.43
Asian or Pacific Islander,173,Smyth County,852,49545,0.0051,3.38
Black,570,Colonial Heights city,14476,25903,0.167,3.35
Black,121,Montgomery County,5439,37861,0.043,3.34
Black,155,Pulaski County,4785,29569,0.0505,3.21
Black,161,Roanoke County,8130,40442,0.064,3.14
Black,073,Gloucester County,3247,13337,0.0799,3.05
Black,015,Augusta County,3289,23419,0.0466,3.02
Hispanic,197,Wythe County,2109,51404,0.0139,2.95
Hispanic,145,Powhatan County,615,9003,0.0232,2.95
Black,775,Salem city,3393,14877,0.0777,2.94
Black,127,New Kent County,8774,21604,0.1386,2.93
Asian or Pacific Islander,157,Rappahannock County,109,4061,0.0096,2.79
Black,187,Warren County,2695,19606,0.0496,2.77
Black,145,Powhatan County,2282,9003,0.0919,2.76
Hispanic,115,Mathews County,192,2569,0.0272,2.75
Black,600,Fairfax city,1552,8994,0.0634,2.72
Black,069,Frederick County,4189,32873,0.0473,2.69
Black,043,Clarke County,1027,8391,0.0466,2.63
Hispanic,111,Lunenburg County,724,5119,0.0539,2.63
Hispanic,155,Pulaski County,1411,29569,0.0182,2.62
Black,199,York County,10782,29868,0.1383,2.61
Black,059,Fairfax County,88085,323016,0.1063,2.57
Black,079,Greene County,1107,5902,0.0732,2.56
Black,003,Albemarle County,7671,31008,0.097,2.55
Asian or Pacific Islander,035,Carroll County,187,32372,0.0023,2.53
Black,139,Page County,476,8477,0.0223,2.52
Black,091,Highland County,30,1095,0.011,2.5
Asian or Pacific Islander,163,Rockbridge County,753,40668,0.0074,2.49
Hispanic,091,Highland County,28,1095,0.0105,2.43
Black,113,Madison County,1282,5853,0.0927,2.36
Black,141,Patrick County,834,6703,0.0526,2.36
Hispanic,007,Amelia County,498,6637,0.0318,2.36
Black,061,Fauquier County,5759,31805,0.0783,2.31
Black,157,Rappahannock County,393,4061,0.0419,2.31
Hispanic,067,Franklin County,1536,23139,0.0288,2.31
Black,019,Bedford County,3618,21762,0.0721,2.31
Hispanic,037,Charlotte County,292,5483,0.0231,2.3
Black,099,King George County,4259,11555,0.1606,2.29
Hispanic,063,Floyd County,292,4241,0.0301,2.29
Black,830,Williamsburg city,10332,28661,0.1599,2.25
Hispanic,075,Goochland County,831,12041,0.0309,2.23
Black,093,Isle of Wight County,8460,16499,0.2322,2.21
Asian or Pacific Islander,045,Craig County,7,2037,0.0016,2.2
Black,530,Buena Vista city,369,3264,0.0516,2.19
Hispanic,001,Accomack County,3515,17690,0.0914,2.17
Black,107,Loudoun County,13221,76631,0.0809,2.13
Asian or Pacific Islander,023,Botetourt County,448,26861,0.0078,2.13
Black,063,Floyd County,182,4241,0.0203,2.12
Black,185,Tazewell County,1518,22392,0.0323,2.1
Asian or Pacific Islander,155,Pulaski County,409,29569,0.0067,2.07
Black,101,King William County,1661,5272,0.1542,2.04
